Data Size,Time (ns)
800,1.38801956E8
900,1351618.0
1000,1101023.0
1100,719262.0
1200,914964.0
1300,713555.0
1400,3614193.0
1500,807551.0
1600,1462263.0
1700,784272.0
1800,617281.0
1900,974281.0
2000,440156.0
2100,472150.0
2200,1697724.0
2300,662064.0
2400,410934.0
2500,429130.0
2600,2897176.0
2700,1048188.0
2800,1092902.0
2900,1310479.0
3000,2371660.0
3100,1614798.0
3200,1482560.0
3300,661691.0
3400,1759762.0
3500,2877319.0
3600,517839.0
3700,602222.0
3800,788153.0
3900,713641.0
4000,747468.0
4100,2352748.0
4200,709672.0
4300,829935.0
4400,728995.0
4500,2416993.0
4600,683737.0
4700,1496983.0
4800,1863093.0
4900,1374127.0
5000,1551807.0
5100,1074881.0
5200,618867.0
5300,903841.0
5400,520572.0
5500,860991.0
5600,451718.0
5700,496243.0
5800,432647.0
5900,852997.0
6000,963807.0
6100,1367598.0
6200,1410363.0
6300,416557.0
6400,975937.0
6500,528397.0
6600,914422.0
6700,4738397.0
6800,1046598.0
6900,4934888.0
7000,819004.0
7100,754156.0
7200,478083.0
7300,619844.0
7400,776637.0
7500,714451.0
7600,686286.0
7700,466844.0
7800,488155.0
7900,469977.0
8000,1074564.0
8100,906224.0
8200,581797.0
8300,492974.0
8400,694779.0
8500,428071.0
8600,437003.0
8700,294641.0
8800,444416.0
8900,401911.0
9000,320425.0
9100,508067.0
9200,548909.0
9300,733309.0
9400,715731.0
9500,623453.0
9600,479267.0
9700,533089.0
9800,607847.0
9900,526550.0
10000,448022.0
10100,592282.0
10200,538474.0
10300,360592.0
10400,524110.0
10500,448332.0
10600,526202.0
10700,540225.0
10800,466588.0
10900,401281.0
11000,902554.0
11100,556630.0
11200,301802.0
11300,326721.0
11400,514695.0
11500,532083.0
11600,527091.0
11700,389976.0
11800,445041.0
11900,521743.0
12000,418879.0
12100,515749.0
12200,388782.0
12300,650866.0
12400,567596.0
12500,1807175.0
12600,1276944.0
12700,4.9674781E7
12800,1299630.0
12900,5035290.0
13000,1553800.0
13100,1125364.0
13200,893925.0
13300,855634.0
13400,780697.0
13500,1999915.0
13600,2424370.0
13700,707907.0
13800,2215247.0
13900,1727037.0
14000,2629082.0
14100,3158642.0
14200,4082586.0
14300,1563943.0
14400,1345936.0
14500,528654.0
14600,1136071.0
14700,716751.0
14800,2100660.0
14900,1938326.0
15000,802625.0
15100,720837.0
15200,1267852.0
15300,739207.0
15400,1057908.0
15500,384052.0
15600,1070024.0
15700,1184455.0
15800,424831.0
15900,586032.0
16000,1862789.0
16100,602025.0
16200,520386.0
16300,580415.0
16400,484632.0
16500,805236.0
16600,1387729.0
16700,955300.0
16800,478889.0
16900,346440.0
17000,575160.0
17100,553713.0
17200,634514.0
17300,1404396.0
17400,865224.0
17500,588250.0
17600,540861.0
17700,1288384.0
17800,948195.0
17900,2294739.0
18000,902064.0
18100,1289424.0
18200,1734144.0
18300,412215.0
18400,504559.0
18500,1563979.0
18600,1197760.0
18700,796868.0
18800,746556.0
18900,594100.0
19000,2144012.0
19100,1031034.0
19200,669675.0
19300,1433949.0
19400,1979128.0
19500,2166635.0
19600,908257.0
19700,493193.0
19800,4905277.0
19900,1476738.0
20000,1425060.0
20100,2845996.0
20200,4406107.0
20300,1108275.0
20400,771030.0
20500,847433.0
20600,430345.0
20700,6418750.0
