Data Size,Time (ns)
800,3798264.88
7200,828165.4
13600,703426.24
20000,488630.8
26400,573443.6
32800,1885342.2
39200,440031.72
45600,654902.64
52000,2170425.76
58400,1133158.88
64800,1246580.84
71200,720667.08
77600,795967.04
84000,672956.68
90400,1160241.32
96800,922738.24
103200,1172606.84
109600,1244951.4
116000,1287580.72
122400,1414297.64
128800,1905397.28
135200,1130726.0
141600,1918162.56
148000,2243990.92
154400,2238682.32
160800,1853586.32
167200,2653493.08
173600,1425761.64
180000,2630941.32
186400,1915426.36
192800,2055372.16
199200,2206029.68
205600,1840090.52
212000,1645795.04
218400,3266983.12
224800,2701272.96
231200,1270894.2
237600,1484542.56
244000,1873445.32
250400,1557094.56
256800,1505026.16
263200,1408376.76
269600,1478807.76
276000,1490823.44
282400,1426548.4
288800,2094153.44
295200,1432718.2
301600,1257447.92
308000,1403642.64
314400,1321092.04
320800,1422887.16
327200,1739267.6
333600,1511810.88
340000,1836421.64
346400,1696814.76
352800,2603501.16
359200,2096804.88
365600,1548288.8
372000,3495176.68
378400,1631864.36
384800,1646060.44
391200,1986702.48
397600,1977327.12
404000,1794070.6
410400,2021825.8
416800,2146796.24
423200,1777417.36
429600,1978217.48
436000,4111693.92
442400,2861764.44
448800,1738948.68
455200,1779300.8
461600,2676499.04
468000,2041978.72
474400,2216091.8
480800,2409105.4
487200,2313311.08
493600,2178441.08
500000,2648330.48
506400,2233426.6
512800,2188155.8
519200,2610649.84
525600,2238240.4
532000,2292394.84
538400,2894724.68
544800,2757794.88
551200,3076736.4
557600,2914366.8
564000,3808801.44
570400,3288680.04
576800,3786573.12
583200,5600973.72
589600,4900818.72
596000,4130584.12
602400,3990081.88
608800,3173478.0
615200,4328729.76
621600,3120824.68
628000,3769788.32
634400,3112143.08
