Data Size,Time (ns)
800,2.88113625E7
4000,2414112.0
7200,5883421.7
10400,1972655.6
13600,1562597.9
16800,1079402.2
20000,1124964.1
23200,815951.2
26400,1311466.3
29600,1072028.3
32800,914607.3
36000,1465406.1
39200,2064286.3
42400,1985893.9
45600,2689263.8
48800,1741379.1
52000,3249397.2
55200,3745051.8
58400,3293166.2
61600,3129022.5
64800,1743434.6
68000,2899804.9
71200,2050409.2
74400,2062680.8
77600,1144329.6
80800,2156471.5
84000,1831047.0
87200,6116659.8
90400,1962258.2
93600,4194427.0
96800,2410363.1
100000,2789487.2
103200,3018473.0
106400,1625111.5
109600,1521271.5
112800,1815129.6
116000,1265485.4
119200,1499757.8
122400,2382629.8
125600,3046190.1
128800,3470188.3
132000,5931879.1
135200,2224297.7
138400,1740615.6
141600,4634894.3
144800,2800311.3
148000,2603519.6
151200,2549475.0
154400,2105109.7
157600,2461116.6
160800,2013816.9
164000,4206215.5
167200,2360519.8
170400,4673793.9
173600,2583858.9
176800,2247521.5
180000,2316642.8
183200,2674567.2
186400,2274002.6
189600,4486025.5
192800,2201854.8
196000,2643888.7
199200,2479171.4
202400,2918581.2
205600,6117845.4
208800,3744922.5
212000,3707228.0
215200,3154609.0
218400,2486484.1
221600,5511861.5
224800,3667687.4
228000,2629372.4
231200,2392560.6
234400,2337527.7
237600,2388515.2
240800,2117353.5
244000,2272009.2
247200,2296733.4
250400,2470859.7
253600,2655716.0
256800,2050813.5
260000,2307742.4
263200,3155603.2
266400,2144661.6
269600,2548195.3
272800,3136637.6
276000,3210817.9
279200,3071564.9
282400,3091953.4
285600,3838651.6
288800,2871220.2
292000,2862060.1
295200,2730189.0
298400,2548883.4
301600,2784147.3
304800,2569287.2
308000,3172450.8
311200,3092022.2
314400,2648151.8
317600,3130869.9
320800,3823738.9
324000,2645097.9
327200,2307411.0
330400,2806747.8
333600,2913461.3
336800,6733135.6
340000,3051124.3
343200,2700119.0
346400,3722661.3
349600,3591387.4
352800,2726525.0
356000,2388412.3
359200,4016479.5
362400,3613291.2
365600,2881640.2
368800,3429342.0
372000,3466201.7
375200,2739548.2
378400,2714179.7
381600,2600622.2
384800,3253645.1
388000,3398016.8
391200,2950984.9
394400,2927216.2
397600,3119515.2
400800,6912237.1
404000,2615320.1
407200,2495064.0
410400,2839925.0
413600,2988773.4
416800,3127131.8
420000,3031656.5
423200,4489825.6
426400,3462542.0
429600,3671064.3
432800,3110754.5
436000,3421284.8
439200,4070038.7
442400,3888437.3
445600,3969053.0
448800,4100317.1
452000,4509973.8
455200,3277156.8
458400,3798423.9
461600,5182087.9
