Data Size,Time (ns)
800,1.49695687E8
900,1229858.0
1000,1478212.0
1100,637174.0
1200,638410.0
1300,795636.0
1400,3476320.0
1500,903304.0
1600,592024.0
1700,565354.0
1800,761409.0
1900,343953.0
2000,455085.0
2100,771180.0
2200,1541254.0
2300,711912.0
2400,801316.0
2500,572816.0
2600,1864479.0
2700,736553.0
2800,1038161.0
2900,1098509.0
3000,798021.0
3100,604305.0
3200,1208385.0
3300,727545.0
3400,1616573.0
3500,3221838.0
3600,725323.0
3700,428822.0
3800,854271.0
3900,2009344.0
4000,782741.0
4100,1655865.0
4200,552494.0
4300,780685.0
4400,903462.0
4500,3404597.0
4600,972374.0
4700,627434.0
4800,633391.0
4900,557124.0
5000,862146.0
5100,449089.0
5200,536943.0
5300,584190.0
5400,1592668.0
5500,524312.0
5600,313338.0
5700,482613.0
5800,644239.0
5900,460480.0
6000,2111571.0
6100,1047960.0
6200,1057567.0
6300,1039840.0
6400,3136688.0
6500,490830.0
6600,769866.0
6700,424801.0
6800,1580994.0
6900,856213.0
7000,863348.0
7100,1427062.0
7200,396014.0
7300,416397.0
7400,348410.0
7500,215280.0
7600,269523.0
7700,319474.0
7800,306287.0
7900,242654.0
8000,2459579.0
8100,1636503.0
8200,912116.0
8300,854860.0
8400,603473.0
8500,1525007.0
8600,631911.0
8700,1096083.0
8800,478592.0
8900,534012.0
9000,591515.0
9100,592599.0
9200,654955.0
9300,445300.0
9400,559875.0
9500,580010.0
9600,647452.0
9700,485451.0
9800,694901.0
9900,1307354.0
10000,589000.0
10100,566607.0
10200,379210.0
10300,392340.0
10400,508289.0
10500,499795.0
10600,447827.0
10700,417625.0
10800,969516.0
10900,1025747.0
11000,1002049.0
11100,1007145.0
11200,1073372.0
11300,355525.0
11400,518923.0
11500,1264703.0
11600,1960305.0
11700,4287989.0
11800,557236.0
11900,2736040.0
12000,1.21058491E8
12100,6290121.0
12200,4994808.0
12300,1532818.0
12400,1.5748529E7
12500,7767783.0
12600,659862.0
12700,2158179.0
12800,2128759.0
12900,2295695.0
13000,770875.0
13100,906309.0
13200,463497.0
13300,852824.0
13400,513820.0
13500,6528631.0
13600,549028.0
13700,2188323.0
13800,415529.0
13900,2662866.0
14000,2421500.0
14100,1161937.0
14200,439726.0
14300,1335795.0
14400,496582.0
14500,561325.0
14600,1029393.0
14700,725869.0
14800,692416.0
14900,653281.0
15000,613837.0
15100,447952.0
15200,864879.0
15300,1080645.0
15400,392408.0
15500,839207.0
15600,464644.0
15700,974622.0
15800,536389.0
15900,417484.0
16000,738944.0
16100,498735.0
16200,489327.0
16300,1767017.0
16400,400625.0
16500,367830.0
16600,1250066.0
16700,769749.0
16800,623934.0
16900,982321.0
17000,673580.0
17100,746455.0
17200,527434.0
17300,356475.0
17400,479899.0
17500,472941.0
17600,498222.0
17700,488164.0
17800,1170406.0
17900,763995.0
18000,517466.0
18100,425889.0
18200,458815.0
18300,421438.0
18400,437191.0
18500,956695.0
18600,1307613.0
18700,444654.0
18800,1585807.0
18900,1696132.0
19000,1084346.0
19100,873941.0
19200,473582.0
19300,417811.0
19400,1396447.0
19500,739477.0
19600,767550.0
19700,1282035.0
19800,1013724.0
19900,1094392.0
20000,485026.0
20100,2829621.0
20200,940073.0
20300,1877472.0
20400,1044762.0
20500,436377.0
20600,402071.0
20700,704378.0
